Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
93,2015,11,Tamil Nadu,The Nilgiris,0.32,1.42,4437.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.04,10100.0,0.0,0.0,0.0,1.07,5.98,7.05,1.44,0.0,0.0
93,2016,11,Tamil Nadu,The Nilgiris,0.24,1.04,4292.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.01,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,8700.0,0.0,0.0,0.0,0.93,5.56,6.48,1.38,0.0,0.0
165,2011,9,Punjab,Gurdaspur,174.39,649.0,3721.54,188.96,898.0,4752.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,5.0,2906.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,125.0,3.0,4.0,1333.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,154.0,6160.0,0.0,0.0,0.0,4.34,2.43,6.78,1.0,0.03,30.92
165,2014,9,Punjab,Gurdaspur,202.0,524.0,2594.06,229.0,742.0,3240.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,2333.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.1,611.11,0.0,0.0,0.0,0.4,0.2,500.0,3.0,3.2,1066.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.6,900.0,28.0,209.3,7475.0,0.0,0.0,0.0,1.59,2.7,4.28,0.0,0.0,29.48
165,2015,9,Punjab,Gurdaspur,203.0,588.0,2896.55,225.0,1022.0,4542.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.13,1300.0,0.0,0.0,0.0,1.5,0.79,526.67,0.0,0.0,0.0,0.5,0.2,400.0,3.0,3.8,1266.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.0,1142.86,25.0,177.8,7112.0,0.0,0.0,0.0,1.92,2.47,4.39,0.0,0.0,30.02
165,2016,9,Punjab,Gurdaspur,203.0,634.0,3123.15,225.0,1016.0,4515.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,2666.67,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,1.7,0.8,470.59,0.0,0.0,0.0,0.5,0.1,200.0,3.2,4.5,1406.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,201.3,8052.0,0.0,0.0,0.0,1.82,2.25,4.08,0.0,0.0,29.49
165,2017,9,Punjab,Gurdaspur,204.0,729.0,3573.53,226.0,1041.0,4606.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,2333.33,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,1.6,1.6,1000.0,0.0,0.0,0.0,0.5,0.2,400.0,2.8,3.8,1357.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,218.7,8411.54,0.0,0.0,0.0,1.87,2.22,4.09,0.0,0.0,28.06
205,2010,12,Uttar Pradesh,Bijnor,59.18,132.72,2242.65,110.02,335.44,3048.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,3000.0,0.05,0.05,1000.0,0.02,0.01,500.0,2.65,2.26,852.83,1.06,1.05,990.57,0.16,0.03,187.5,1.87,2.07,1106.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,3.16,1022.65,216.77,1204.19,5555.15,0.0,0.0,0.0,3.48,3.78,7.26,0.67,0.01,28.15
205,2011,12,Uttar Pradesh,Bijnor,57.9,138.66,2394.82,106.86,342.4,3204.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.14,2800.0,0.01,0.02,2000.0,0.03,0.02,666.67,2.26,2.38,1053.1,0.88,0.83,943.18,0.03,0.01,333.33,1.67,1.87,1119.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,2.71,1054.47,210.95,1216.95,5768.9,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.01,0.0
205,2012,12,Uttar Pradesh,Bijnor,16.12,44.27,2746.28,78.24,323.12,4129.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,1000.0,0.01,0.01,1000.0,2.16,1.89,875.0,0.75,0.71,946.67,0.03,0.01,333.33,2.0,2.75,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,3.47,1252.71,215.54,1260.29,5847.13,0.0,0.0,0.0,5.77,2.84,8.61,0.74,0.01,27.7
