Year,Location,Area,Rainfall,Temperature,Soil_type,Irrigation,yields,Humidity,Crops,price,Season
2004,Mangalore,1279,2903.1,27.0,Alluvial,Drip,2570.0,57.0,Coconut,200000,Kharif
2004,Mangalore,725,2996.6,27.0,Alluvial,Drip,1402.0,55.0,Coconut,216396,Kharif
2004,Mangalore,468,3522.8,27.2,Alluvial,Drip,1132.0,58.0,Coconut,203317,Kharif
2004,Mangalore,206,3729.8,27.0,Alluvial,Drip,804.0,50.0,Coconut,238542,Kharif
2004,Mangalore,177,2746.2,27.0,Alluvial,Drip,792.0,52.0,Coconut,234779,Kharif
2004,Kodagu,146,3360.0,27.2,Alluvial,Drip,338.0,57.0,Coconut,249978,Kharif
2004,Kodagu,160,3605.4,27.1,Alluvial,Drip,404.0,57.0,Coconut,24848,Kharif
2004,Kodagu,142,3512.4,26.8,Alluvial,Drip,343.0,56.6,Coconut,234581,Kharif
2004,Kodagu,154,3296.0,37.0,Alluvial,Drip,336.0,59.5,Coconut,200000,Kharif
2004,Kasaragodu,143,3550.0,38.0,Alluvial,Drip,316.0,53.5,Coconut,216396,Kharif
2004,Kasaragodu,158,3654.0,39.0,Alluvial,Drip,382.0,57.0,Coconut,203317,Kharif
2004,Kasaragodu,110,3105.0,42.0,Red,Drip,291.0,50.0,Coconut,249978,Kharif
2004,Raichur,4012,2903.1,27.0,Red,Basin,7157.0,57.0,Coconut,45608,Kharif
2004,Raichur,4877,2903.1,27.0,Red,Basin,8700.0,57.0,Coconut,234581,Kharif
2004,Raichur,4954,2996.6,27.0,Red,Basin,8838.0,57.0,Coconut,43562,Rabi
2004,Raichur,5019,2996.6,27.0,Red,Basin,8954.0,57.0,Coconut,200000,Rabi
2004,Raichur,5174,3522.8,27.2,Red,Basin,9230.0,54.5,Coconut,51239,Rabi
2004,Raichur,32,3360.0,27.2,Red,Basin,114.0,56.0,Coconut,57259,Rabi
2004,Raichur,1,3360.0,27.2,Red,Basin,3.0,57.0,Coconut,234779,Rabi
2004,Raichur,30,3360.0,27.2,Red,Basin,95.0,57.5,Coconut,1493,Rabi
2004,Gulbarga,6,3605.4,27.1,Red,Basin,19.0,57.0,Coconut,64409,Rabi
2004,Gulbarga,15,3605.4,27.1,Red,Basin,54.0,55.0,Coconut,249978,Rabi
2004,Gulbarga,4,3605.4,27.1,Red,Basin,13.0,56.0,Coconut,200000,Rabi
2004,Gulbarga,39,3512.4,26.8,Red,Basin,123.0,54.0,Coconut,4847,Rabi
2004,Gulbarga,6,3512.4,26.8,Red,Basin,19.0,58.0,Coconut,51239,Rabi
2004,Gulbarga,12,3512.4,26.8,Red,Basin,32.0,58.0,Coconut,216396,Rabi
2004,Gulbarga,3,3296.0,37.0,Red,Basin,8.0,59.0,Coconut,2644,Rabi
2004,Gulbarga,17,3296.0,37.0,Black,Basin,50.0,50.0,Coconut,44235,Rabi
2004,Gulbarga,3,3296.0,37.0,Black,Basin,10.0,54.0,Coconut,203317,Rabi
2004,Gulbarga,9,3550.0,38.0,Black,Basin,29.0,53.0,Coconut,2134,Rabi
2004,Gulbarga,21,3550.0,38.0,Black,Basin,44.0,52.0,Coconut,45186,Rabi
2004,Gulbarga,11,3550.0,38.0,Black,Basin,33.0,51.0,Coconut,238542,Rabi
2004,Gulbarga,4,3654.0,39.0,Black,Basin,14.0,57.0,Coconut,1516,Rabi
2004,Gulbarga,15,3654.0,39.0,Black,Basin,56.0,57.0,Coconut,57259,Rabi
2004,Gulbarga,8,3654.0,39.0,Black,Basin,26.0,60.0,Coconut,234779,Rabi
2004,Gulbarga,3147,3522.8,27.2,Black,Spray,2783.0,56.0,Coconut,203317,Zaid
2004,Gulbarga,2578,3522.8,27.2,Black,Spray,1533.0,54.0,Coconut,2134,Zaid
2004,Gulbarga,1591,3729.8,27.0,Black,Spray,1647.0,58.0,Coconut,45186,Zaid
2004,Gulbarga,1298,3729.8,27.0,Black,Spray,975.0,58.0,Coconut,238542,Zaid
2004,Gulbarga,4,3729.8,27.0,Black,Spray,2.0,59.0,Coconut,1516,Zaid
2004,Gulbarga,1122,2746.2,27.0,Black,Spray,836.0,50.0,Coconut,57259,Zaid
2004,Gulbarga,917,2746.2,27.0,Loam,Spray,806.0,54.0,Coconut,234779,Zaid
2004,Gulbarga,819,2746.2,27.0,Loam,Spray,880.0,53.0,Coconut,1493,Zaid
2004,Gulbarga,619,3360.0,27.2,Loam,Spray,770.0,52.0,Coconut,64409,Zaid
2004,Gulbarga,391,3360.0,27.2,Loam,Spray,395.0,51.0,Coconut,249978,Zaid
2004,Gulbarga,211,3360.0,27.2,Loam,Spray,187.0,57.0,Coconut,637,Zaid
2004,Gulbarga,153,3605.4,27.1,Loam,Spray,187.0,57.0,Coconut,43311,Zaid
2004,Gulbarga,111,3605.4,27.1,Loam,Spray,121.0,60.0,Coconut,24848,Zaid
2004,Gulbarga,76,3605.4,27.1,Loam,Spray,103.0,57.0,Coconut,761,Zaid
2004,Gulbarga,53,3512.4,26.8,Loam,Spray,71.0,57.0,Coconut,45608,Zaid
2004,Gulbarga,2688,3512.4,26.8,Loam,Spray,3961.0,54.0,Coconut,234581,Zaid
